Name,Age,Height,Weight,Overall,Potential,BestPosition,WeakFoot,SkillMoves,PaceTotal,ShootingTotal,PassingTotal,DribblingTotal,DefendingTotal,PhysicalityTotal,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,BMI,GK,Clasificación Habilidad
M. Maignan,26,191,89,87,90,GK,4,1,85,82,85,89,51,85,18,15,17,57,16,31,38,16,53,40,50,53,41,85,56,64,74,39,78,20,35,25,15,61,15,66,23,16,19,85,82,85,85,89,24.39626106740495,1,Alta
W. Szczęsny,32,195,90,86,86,GK,3,1,86,81,73,87,49,86,12,12,16,32,14,11,16,14,36,22,51,47,55,82,51,55,71,45,65,14,40,15,14,48,18,65,20,13,12,86,81,73,86,87,23.66863905325444,1,Alta
K. Trapp,31,189,84,86,86,GK,4,1,84,82,79,87,46,85,13,13,11,25,12,10,14,12,12,24,43,50,42,83,37,59,76,45,75,13,30,22,12,46,17,64,15,14,10,84,82,79,85,87,23.515579071134628,1,Alta
É. Mendy,30,197,86,86,87,GK,2,1,84,82,81,88,34,85,10,5,10,47,9,18,13,14,54,31,33,36,50,84,33,61,39,37,72,9,22,13,6,52,13,58,10,11,13,84,82,81,85,88,22.159808291891057,1,Alta
P. Gulácsi,32,191,86,85,85,GK,2,1,85,84,76,85,43,83,16,10,23,35,10,19,18,11,31,25,42,44,41,81,42,57,67,37,74,12,34,23,11,44,24,45,25,16,20,85,84,76,83,85,23.573915188728375,1,Alta
Y. Sommer,33,183,79,85,85,GK,4,1,78,81,82,90,50,86,13,13,10,40,8,15,12,13,31,25,48,54,55,82,58,62,73,45,68,12,38,21,15,64,24,57,9,19,12,78,81,82,86,90,23.589835468362743,1,Alta
S. Handanovič,37,193,92,84,84,GK,3,1,80,80,65,85,43,90,12,10,10,42,12,18,20,14,40,21,41,47,44,79,36,49,75,36,69,19,25,22,12,41,23,64,25,10,13,80,80,65,90,85,24.69864962817794,1,Alta
Y. Bounou,31,192,78,84,84,GK,2,1,84,81,76,86,36,84,15,14,14,39,13,20,12,19,44,12,37,34,47,80,29,57,48,43,69,19,25,12,10,62,24,57,20,18,15,84,81,76,84,86,21.158854166666668,1,Alta
E. Martínez,29,195,88,84,84,GK,4,1,85,83,82,85,58,83,22,16,26,50,13,13,22,20,59,35,59,57,49,80,49,62,60,40,70,16,37,13,12,66,42,60,11,20,20,85,83,82,83,85,23.14266929651545,1,Alta
K. Casteels,30,197,86,84,85,GK,2,1,84,82,79,86,45,84,15,15,14,35,13,14,20,13,37,23,44,46,50,80,43,59,58,44,72,18,33,16,15,42,20,40,11,19,17,84,82,79,84,86,22.159808291891057,1,Alta
Unai Simón,25,190,89,83,86,GK,3,1,82,79,77,85,49,85,16,14,18,41,17,12,20,14,37,16,48,50,37,77,47,58,66,44,76,13,29,26,14,48,24,46,11,18,12,82,79,77,85,85,24.653739612188367,1,Alta
G. Kobel,24,195,88,83,88,GK,3,1,84,80,74,88,43,79,13,10,13,39,10,24,13,12,33,34,38,51,37,81,29,56,68,30,81,10,24,14,10,59,12,66,15,15,15,84,80,74,79,88,23.14266929651545,1,Alta
K. Schmeichel,35,189,89,83,83,GK,3,1,81,78,79,86,45,81,18,12,16,40,15,12,13,15,49,40,42,49,60,82,47,59,60,34,63,14,35,20,13,59,26,67,14,14,13,81,78,79,81,86,24.915315920606925,1,Alta
L. Hrádecký,32,192,85,83,83,GK,3,1,84,77,69,87,40,82,11,11,11,30,9,10,11,15,33,20,38,44,43,83,39,52,69,34,55,14,31,18,9,53,20,48,10,10,13,84,77,69,82,87,23.057725694444446,1,Alta
O. Baumann,32,187,82,83,83,GK,1,1,83,82,79,84,49,79,14,11,16,30,11,19,12,11,25,17,47,51,45,82,43,59,73,39,69,13,32,21,10,41,22,52,15,18,14,83,82,79,79,84,23.449340844748203,1,Alta
G. Rulli,30,189,84,82,82,GK,3,1,82,79,80,83,54,81,12,15,12,36,16,14,19,20,30,15,56,52,58,79,50,60,65,42,73,17,26,21,12,62,24,61,15,13,17,82,79,80,81,83,23.515579071134628,1,Alta
David Soria,29,192,85,82,82,GK,3,1,82,81,73,83,43,81,15,19,24,24,19,16,23,11,33,19,49,34,49,80,42,55,61,43,75,18,24,18,12,45,23,58,22,13,13,82,81,73,81,83,23.057725694444446,1,Alta
A. Onana,26,190,93,82,85,GK,3,1,81,80,86,83,61,80,15,12,20,43,13,26,30,17,53,38,62,60,66,81,53,65,77,38,79,17,32,15,11,64,27,64,12,18,14,81,80,86,80,83,25.7617728531856,1,Alta
Álex Remiro,27,192,79,82,84,GK,4,1,83,76,79,84,42,85,12,13,13,36,15,19,14,17,29,26,40,46,69,76,40,59,66,42,73,11,34,20,11,35,24,55,14,17,18,83,76,79,85,84,21.43012152777778,1,Alta
A. Ramsdale,24,191,77,82,86,GK,3,1,83,77,85,84,48,78,15,14,15,54,16,18,17,16,54,35,47,50,53,80,49,64,66,35,59,15,35,24,18,64,25,65,20,16,15,83,77,85,78,84,21.106877552698663,1,Alta
Lucas Mantela,22,183,77,82,82,GK,3,1,79,87,85,81,35,77,13,15,14,29,19,17,16,21,18,23,35,34,36,76,55,64,70,44,85,19,20,18,11,70,15,48,16,18,17,79,87,85,77,81,22.99262444384723,1,Alta
J. Pickford,28,185,77,82,84,GK,4,1,84,77,87,87,51,80,17,19,15,58,20,14,18,16,60,40,56,44,57,75,55,65,77,45,70,13,45,24,18,69,45,65,21,20,12,84,77,87,80,87,22.4981738495252,1,Alta
Ł. Fabiański,37,190,83,82,82,GK,2,1,82,82,71,82,49,83,14,13,11,20,17,14,18,12,32,22,50,47,53,74,44,53,69,25,65,20,43,16,15,52,22,63,14,12,13,82,82,71,83,82,22.99168975069252,1,Alta
Rui Patrício,34,190,84,82,82,GK,2,1,82,80,77,83,55,80,12,12,11,34,16,20,10,16,32,25,53,57,61,76,54,58,79,45,77,11,37,23,13,64,32,66,14,13,11,82,80,77,80,83,23.26869806094183,1,Alta
A. Lopes,31,184,81,82,82,GK,2,1,84,78,71,86,63,80,19,18,16,32,13,15,15,14,31,21,63,64,67,82,62,53,82,36,73,18,45,25,9,48,16,65,13,15,13,84,78,71,80,86,23.92485822306238,1,Alta
A. Areola,29,195,94,81,82,GK,3,1,85,79,75,84,55,78,20,19,14,48,16,15,16,16,37,22,56,54,58,75,58,56,72,38,80,14,26,23,17,51,25,64,13,18,12,85,79,75,78,84,24.720578566732414,1,Alta
Neto,32,190,84,81,81,GK,2,1,82,78,77,80,54,78,11,15,14,36,12,19,12,13,41,24,56,52,59,77,49,58,83,40,61,20,40,15,11,42,22,64,17,14,15,82,78,77,78,80,23.26869806094183,1,Alta
N. Pope,30,199,76,81,81,GK,3,1,80,82,75,83,49,80,11,14,11,29,14,15,13,12,52,24,50,47,36,76,42,56,72,37,75,15,36,21,13,50,22,63,14,15,14,80,82,75,80,83,19.191434559733334,1,Alta
Adán,35,190,94,81,81,GK,3,1,79,82,78,80,55,83,12,11,23,34,15,12,11,12,43,15,56,54,55,76,51,59,71,32,77,12,41,20,11,42,25,63,20,14,18,79,82,78,83,80,26.038781163434905,1,Alta
José Sá,29,192,84,81,82,GK,2,1,83,78,73,83,52,79,18,15,14,48,17,17,12,21,42,19,52,53,62,80,40,55,70,34,75,18,35,18,17,50,11,45,14,19,15,83,78,73,79,83,22.786458333333336,1,Alta
O. Vlachodimos,28,190,81,81,83,GK,3,1,84,78,67,84,43,78,15,12,13,27,14,13,17,13,24,23,42,44,67,82,38,50,74,39,68,16,32,23,14,46,18,56,17,14,12,84,78,67,78,84,22.437673130193907,1,Alta
J. Musso,28,191,93,81,82,GK,3,1,82,78,73,86,44,82,20,18,15,31,15,16,16,12,24,20,46,42,32,71,39,55,51,35,70,14,27,18,19,48,25,67,12,14,16,82,78,73,82,86,25.492722238973712,1,Alta
A. Lafont,23,196,90,80,85,GK,3,1,83,77,68,86,47,77,13,6,13,54,9,14,13,12,51,10,48,45,60,71,53,51,73,40,70,9,20,11,4,56,16,61,20,14,12,83,77,68,77,86,23.427738442315704,1,Alta
Héniton Pires,26,182,74,80,80,GK,3,1,81,75,78,79,41,81,18,11,12,28,16,14,15,13,30,20,43,39,42,77,48,59,70,30,64,12,36,22,13,70,21,41,16,14,17,81,75,78,81,79,22.34029706557179,1,Alta
M. Dmitrović,30,194,94,80,81,GK,2,1,77,79,78,81,37,80,30,20,20,40,20,8,20,18,40,9,39,35,32,76,37,59,50,45,79,17,20,17,9,45,58,59,19,22,20,77,79,78,80,81,24.97608672547561,1,Alta
D. Livaković,27,187,79,80,83,GK,2,1,80,76,71,84,56,77,13,12,13,46,10,19,12,11,56,28,57,54,65,77,30,53,61,32,75,9,26,21,11,60,15,64,24,20,21,80,76,71,77,84,22.59143813091595,1,Alta
J. Cillessen,33,185,83,80,80,GK,3,1,80,79,78,76,54,80,17,10,12,50,19,12,10,10,35,32,56,50,48,80,50,59,71,40,67,15,25,25,11,60,21,61,18,12,11,80,79,78,80,76,24.25127830533236,1,Alta
S. Ortega,29,185,88,80,80,GK,4,1,76,74,86,85,52,80,18,15,20,40,13,20,16,12,55,38,51,53,42,80,54,65,77,33,73,12,29,27,10,66,24,59,29,12,15,76,74,86,80,85,25.712198685171657,1,Alta
T. Vaclík,33,188,85,80,80,GK,3,1,78,75,74,83,40,82,15,14,19,28,13,14,17,16,45,20,42,37,47,78,56,56,72,38,71,16,29,23,15,67,13,63,20,18,18,78,75,74,82,83,24.049343594386603,1,Alta
Edgar Badia,30,180,70,80,81,GK,3,1,78,77,77,83,44,78,14,12,20,30,16,14,19,13,32,18,45,43,53,76,41,58,57,35,55,12,42,22,9,45,30,56,26,12,15,78,77,77,78,83,21.604938271604937,1,Alta
B. Leno,30,190,83,80,80,GK,3,1,82,78,74,82,55,79,9,9,13,50,10,16,9,8,48,35,55,56,52,75,44,56,73,43,70,14,28,25,7,56,23,62,27,15,18,82,78,74,79,82,22.99168975069252,1,Alta
G. Ochoa,36,185,78,80,80,GK,3,1,82,73,70,84,50,81,15,12,19,37,16,10,14,17,37,20,50,50,57,70,43,53,79,38,60,11,19,23,16,50,16,60,21,10,12,82,73,70,81,84,22.79035792549306,1,Alta
A. Consigli,35,189,82,80,80,GK,3,1,80,81,71,81,42,78,10,10,10,31,19,10,15,15,27,23,48,34,57,75,40,53,80,31,51,19,11,15,10,46,21,63,10,17,19,80,81,71,78,81,22.955684331345708,1,Alta
S. Mignolet,34,193,87,80,80,GK,3,1,80,74,74,85,51,83,11,11,16,50,16,14,16,12,40,26,50,52,34,74,52,56,69,31,72,16,34,21,14,43,41,61,7,14,16,80,74,74,83,85,23.35633171360305,1,Alta
D. Ospina,33,183,80,80,80,GK,3,1,81,76,77,82,34,80,11,10,15,36,12,12,10,13,32,32,34,34,44,77,50,58,75,29,38,12,20,25,16,50,26,57,11,13,12,81,76,77,80,82,23.888440980620494,1,Alta
A. Cragno,28,184,78,80,81,GK,3,1,82,79,73,83,39,77,15,12,12,31,13,13,11,12,25,21,41,37,37,75,43,55,74,43,55,17,33,19,15,42,31,59,20,11,12,82,79,73,77,83,23.03875236294896,1,Alta
J. Ledesma,29,186,83,80,82,GK,2,1,82,77,72,83,46,78,18,16,17,35,19,17,20,18,28,13,49,42,40,74,50,54,68,40,65,22,25,22,15,38,25,42,15,15,14,82,77,72,78,83,23.991212856977683,1,Alta
Kepa,27,186,88,80,83,GK,4,1,79,78,85,82,34,77,25,11,18,51,18,14,25,19,51,33,34,33,41,70,39,64,71,37,51,14,18,21,15,57,24,63,19,18,16,79,78,85,77,82,25.4364666435426,1,Alta
U. Çakır,26,191,82,80,84,GK,3,1,80,77,72,82,54,81,15,13,14,32,20,14,18,20,27,24,53,56,49,78,58,54,81,40,67,19,27,25,14,60,23,60,17,18,16,80,77,72,81,82,22.47745401715962,1,Alta
M. Dúbravka,33,190,80,80,80,GK,2,1,78,76,79,81,46,77,12,10,12,48,11,19,15,13,59,33,48,44,47,73,60,59,74,38,60,17,28,25,12,58,20,59,19,15,14,78,76,79,77,81,22.1606648199446,1,Alta
W. Benítez,29,191,93,80,82,GK,2,1,80,79,72,83,48,80,12,14,13,28,13,19,20,17,27,20,48,48,47,75,45,54,62,40,80,14,28,21,17,46,25,62,17,20,17,80,79,72,80,83,25.492722238973712,1,Alta
Rui Silva,28,191,91,80,82,GK,3,1,81,76,75,83,31,82,13,20,14,25,20,18,19,20,26,24,31,30,34,71,24,56,62,27,66,14,19,27,20,50,30,49,25,10,19,81,76,75,82,83,24.94449165318933,1,Alta
M. Flekken,29,195,87,80,81,GK,4,1,80,76,81,82,31,79,14,16,11,39,14,12,19,12,42,34,28,36,34,79,38,61,54,28,72,11,32,12,14,43,23,39,15,13,20,80,76,81,79,82,22.87968441814596,1,Alta
Luís Maximiano,23,190,82,79,85,GK,2,1,78,76,68,82,55,76,10,5,8,44,8,16,9,9,38,21,55,55,58,78,33,51,63,23,68,4,12,9,6,55,13,56,21,15,13,78,76,68,76,82,22.71468144044321,1,Alta
Diego López,40,196,89,79,79,GK,3,1,76,80,68,76,44,81,11,12,10,28,14,11,10,11,21,25,44,43,44,75,40,51,66,40,73,10,40,16,11,55,21,65,16,13,14,76,80,68,81,76,23.167430237401085,1,Alta
Guaita,35,190,80,79,79,GK,3,1,80,77,78,81,51,77,34,11,20,44,13,16,32,20,36,24,51,52,63,74,48,59,68,41,62,15,24,27,13,54,29,62,23,15,17,80,77,78,77,81,22.1606648199446,1,Alta
A. Talavera,39,186,85,79,79,GK,4,1,80,82,68,80,58,78,15,13,14,35,13,10,15,14,35,21,58,58,57,70,47,51,77,36,82,13,38,24,14,50,44,60,26,13,14,80,82,68,78,80,24.56931437160365,1,Alta
Gabri Prestão,30,186,80,79,79,GK,3,1,81,75,71,82,60,77,8,9,7,11,8,18,12,13,12,20,58,62,66,76,43,53,60,23,60,12,35,12,5,60,15,64,22,9,16,81,75,71,77,82,23.12406058503873,1,Alta
Emelvinson,34,190,85,79,79,GK,2,1,79,75,77,74,41,83,10,8,11,18,8,9,9,18,16,21,41,42,34,82,41,58,67,29,79,7,34,23,20,50,14,53,20,17,13,79,75,77,83,74,23.545706371191137,1,Alta
A. Rossi,26,195,95,79,83,GK,2,1,80,76,72,80,41,79,17,14,19,35,17,21,29,21,33,26,39,43,35,79,37,54,62,35,76,19,24,25,16,52,23,53,27,21,17,80,76,72,79,80,24.983563445101908,1,Alta
J. Omlin,28,189,80,79,81,GK,4,1,80,75,73,82,52,76,24,17,24,45,15,27,21,16,35,31,52,51,32,74,51,55,75,35,72,18,22,25,15,48,27,55,20,21,24,80,75,73,76,82,22.395789591556788,1,Alta
J. Bijlow,24,188,76,79,85,GK,2,1,82,75,78,80,58,76,10,10,11,33,10,11,10,10,44,21,58,58,56,77,32,59,67,30,70,10,22,10,10,58,16,54,16,12,14,82,75,78,76,80,21.50294250792214,1,Alta
S. Mandanda,37,185,82,79,79,GK,2,1,77,79,74,81,49,77,14,13,13,60,13,19,13,12,36,27,53,43,52,80,36,56,69,31,61,7,37,23,11,59,11,62,13,15,13,77,79,74,77,81,23.959094229364496,1,Alta
Sergio Asenjo,33,189,87,79,79,GK,3,1,80,77,78,78,57,77,24,14,13,39,15,15,23,22,39,14,59,54,62,78,58,59,73,39,73,13,20,22,12,46,15,64,24,15,14,80,77,78,77,78,24.35542118081801,1,Alta
F. Muslera,36,190,74,79,79,GK,2,1,76,80,72,77,51,82,15,10,12,44,10,25,14,10,47,27,50,52,64,78,62,54,84,40,68,10,32,23,13,62,24,60,12,16,16,76,80,72,82,77,20.498614958448755,1,Alta
G. Buffon,44,192,92,79,79,GK,2,1,76,73,70,76,31,90,13,15,13,37,17,26,20,13,35,28,33,27,50,78,49,53,69,34,65,13,38,28,12,50,22,70,13,11,11,76,73,70,90,76,24.95659722222222,1,Alta
Diogo Costa,22,188,84,79,86,GK,2,1,76,75,73,83,32,78,13,6,11,28,8,18,10,10,29,25,30,36,34,77,35,55,53,23,63,9,23,18,18,49,14,44,19,13,11,76,75,73,78,83,23.766410140334997,1,Alta
D. Henderson,25,188,85,79,82,GK,3,1,80,78,77,82,55,75,14,9,13,45,5,13,13,10,48,35,55,56,61,77,56,58,68,32,64,6,35,11,8,55,16,60,15,14,14,80,78,77,75,82,24.049343594386603,1,Alta
Pau López,27,189,77,79,82,GK,3,1,80,79,77,81,48,81,24,19,15,63,17,18,23,21,55,43,45,52,40,63,57,58,71,42,52,18,39,16,20,68,25,62,19,20,11,80,79,77,81,81,21.55594748187341,1,Alta
A. Marchesín,34,188,85,79,79,GK,3,1,80,77,76,80,54,79,18,14,11,37,15,24,16,15,34,20,55,52,65,75,60,57,73,38,59,12,45,15,18,65,14,64,22,15,15,80,77,76,79,80,24.049343594386603,1,Alta
M. Sels,30,190,88,79,80,GK,2,1,77,78,75,80,36,80,16,16,14,38,19,19,17,17,32,33,37,35,36,78,34,56,70,26,67,18,29,17,18,49,22,62,14,15,14,77,78,75,80,80,24.37673130193906,1,Alta
M. Riemann,33,186,83,79,79,GK,5,1,78,74,85,82,52,78,17,12,15,59,13,30,15,14,65,47,57,45,49,71,64,64,70,43,65,18,38,32,13,69,34,67,30,14,19,78,74,85,78,82,23.991212856977683,1,Alta
M. Perin,29,188,77,79,80,GK,3,1,79,79,71,81,57,79,11,11,12,33,19,19,15,13,31,23,57,56,53,74,30,53,75,30,52,17,25,19,12,44,21,65,20,12,19,79,79,71,79,81,21.785875961973744,1,Alta
M. Silvestri,31,191,80,79,79,GK,3,1,81,77,60,83,59,80,12,20,12,22,20,18,16,11,20,20,58,61,65,72,34,45,74,34,60,16,31,11,14,47,16,44,8,18,16,81,77,60,80,83,21.92922343137524,1,Alta
F. Armani,35,189,88,79,79,GK,3,1,78,74,69,85,43,80,18,11,19,35,18,16,15,16,29,37,41,45,37,77,39,52,65,35,81,17,43,21,17,54,20,53,15,13,19,78,74,69,80,85,24.635368550712467,1,Alta
Matheus,29,190,84,79,80,GK,3,1,82,75,77,82,45,77,15,12,14,27,13,12,21,12,36,22,44,47,45,75,48,58,63,32,71,15,19,26,12,52,13,46,16,20,15,82,75,77,77,82,23.26869806094183,1,Alta
A. Bayındır,24,198,73,78,82,GK,2,1,78,75,72,82,30,76,11,10,14,35,15,10,10,14,43,16,30,31,51,70,24,54,58,31,68,11,29,14,14,55,16,62,14,13,10,78,75,72,76,82,18.62054892357923,1,Alta
G. Mamardashvili,21,199,88,78,84,GK,3,1,79,78,74,80,48,79,13,9,14,15,7,11,11,10,15,22,48,48,35,60,26,56,53,45,74,7,25,8,8,34,11,26,5,12,10,79,78,74,79,80,22.22166106916492,1,Alta
J. Pavlenka,30,196,81,78,78,GK,3,1,81,74,60,84,36,69,11,16,14,28,19,12,10,14,17,19,35,37,39,79,27,45,36,20,68,17,22,13,14,25,18,39,12,10,14,81,74,60,69,84,21.08496459808413,1,Alta
G. Vicario,25,188,76,78,82,GK,1,1,79,78,74,80,28,78,11,6,11,27,7,12,14,10,27,14,28,29,33,64,33,56,49,18,53,5,17,15,8,64,13,55,23,11,13,79,78,74,78,80,21.50294250792214,1,Alta
P. Rajković,26,191,85,78,81,GK,2,1,77,76,74,81,25,79,13,9,13,31,8,8,14,10,42,18,30,18,32,73,29,56,35,26,66,10,25,10,4,42,20,32,11,10,10,77,76,74,79,81,23.299799895836188,1,Alta
M. Hitz,34,194,91,78,78,GK,3,1,81,73,79,79,42,77,12,27,18,29,26,13,15,17,33,17,40,46,41,73,31,59,67,38,78,12,25,23,8,25,22,44,13,15,14,81,73,79,77,79,24.17897757466256,1,Alta
C. Bravo,39,184,80,78,78,GK,3,1,77,78,84,78,56,78,12,13,18,56,11,22,25,38,57,32,58,54,63,72,62,63,81,39,69,17,40,23,16,69,23,64,15,18,19,77,78,84,78,78,23.62948960302457,1,Alta
S. Romero,35,192,86,78,78,GK,3,1,78,75,77,80,46,76,11,14,12,44,17,12,12,13,47,40,47,44,55,76,44,58,63,31,74,11,33,21,11,56,16,62,14,11,15,78,75,77,76,80,23.32899305555556,1,Alta
S. Dimitrievski,28,188,84,78,79,GK,2,1,77,82,75,79,36,78,11,20,14,23,15,18,17,17,27,19,35,38,44,63,43,56,60,40,72,17,17,21,15,51,21,53,19,19,17,77,82,75,78,79,23.766410140334997,1,Alta
T. Strakosha,27,193,78,78,81,GK,2,1,79,76,73,79,43,77,18,18,11,26,11,14,14,12,22,15,41,46,45,76,47,55,56,23,66,20,20,24,18,49,21,61,20,18,12,79,76,73,77,79,20.94015946736825,1,Alta
P. Gollini,27,194,94,78,81,GK,2,1,78,79,73,80,47,74,17,14,19,31,18,18,13,15,25,24,46,48,56,73,52,55,52,40,68,17,19,18,12,32,21,63,20,12,19,78,79,73,74,80,24.97608672547561,1,Alta
Pacheco,30,186,81,78,79,GK,2,1,77,75,70,80,46,78,14,16,10,28,13,13,20,20,29,15,48,42,62,76,53,53,73,43,75,15,29,26,14,53,23,62,18,16,13,77,75,70,78,80,23.41311134235172,1,Alta
G. Arias,34,188,82,78,78,GK,3,1,78,73,73,82,41,79,15,18,22,38,14,23,30,20,19,25,40,42,41,73,57,55,64,32,65,16,33,13,17,50,26,45,27,21,24,78,73,73,79,82,23.20054323223178,1,Alta
S. Rochet,29,190,85,78,80,GK,3,1,80,78,67,80,49,76,14,13,17,27,17,19,18,15,24,24,49,48,30,68,48,50,62,39,70,17,18,24,20,32,24,37,14,12,17,80,78,67,76,80,23.545706371191137,1,Alta
A. Nübel,25,193,88,78,84,GK,5,1,75,71,70,84,48,76,15,18,13,29,13,18,20,20,18,20,49,46,34,73,58,53,61,39,70,18,23,20,10,32,16,32,23,14,13,75,71,70,76,84,23.624795296518027,1,Alta
Sergio Herrera,29,192,82,78,79,GK,3,1,79,77,73,77,47,75,20,16,14,24,16,15,21,21,21,27,45,49,45,75,45,55,56,42,67,14,25,12,13,33,32,53,15,17,18,79,77,73,75,77,22.24392361111111,1,Alta
A. Meret,25,190,83,78,81,GK,3,1,79,73,70,81,44,77,15,17,19,29,20,16,20,21,22,22,41,48,37,74,48,53,68,29,65,17,22,22,20,21,21,67,10,21,12,79,73,70,77,81,22.99168975069252,1,Alta
M. Ryan,30,184,82,78,78,GK,4,1,78,76,82,80,53,76,23,11,14,40,15,13,23,12,45,24,53,52,53,73,50,62,78,34,65,18,36,23,10,68,25,64,10,20,17,78,76,82,76,80,24.22022684310019,1,Alta
L. Unnerstall,31,198,103,78,78,GK,1,1,78,78,63,80,32,78,10,13,10,26,15,16,13,11,24,19,28,37,19,69,20,47,45,35,82,12,36,21,13,42,16,58,11,17,15,78,78,63,78,80,26.272829303132333,1,Alta
E. Audero,25,192,83,78,81,GK,2,1,80,74,73,82,53,76,13,16,19,29,18,19,12,12,19,18,55,49,53,75,51,55,65,25,55,19,24,11,9,30,22,56,10,10,10,80,74,73,76,82,22.51519097222222,1,Alta
S. Kritsyuk,31,192,85,77,77,GK,2,1,77,78,73,78,48,75,20,19,17,31,12,13,12,20,21,23,49,47,36,73,41,55,69,37,67,14,38,16,18,35,14,24,15,15,13,77,78,73,75,78,23.057725694444446,1,Alta
M. Borjan,34,196,84,77,77,GK,2,1,78,74,75,78,44,74,15,15,24,38,19,28,16,16,48,23,47,40,40,73,46,56,68,40,79,12,44,24,14,57,34,60,21,23,21,78,74,75,74,78,21.86588921282799,1,Alta
A. Gomis,28,196,80,77,79,GK,3,1,77,76,71,76,42,76,15,16,11,34,11,15,12,12,41,24,43,41,60,73,54,53,78,33,65,15,16,21,16,61,23,57,18,14,10,77,76,71,76,76,20.82465639316952,1,Alta
B. Lecomte,31,186,78,77,77,GK,3,1,76,74,78,76,41,76,13,11,10,22,10,11,20,19,25,23,41,40,36,75,30,59,62,34,68,10,23,24,10,41,20,63,17,11,12,76,74,78,76,76,22.54595907041276,1,Alta
M. Turner,28,191,79,77,80,GK,2,1,76,75,67,77,38,79,13,15,14,24,16,16,13,14,29,24,38,39,48,74,42,50,55,35,64,18,25,27,15,55,14,59,11,11,11,76,75,67,79,77,21.655108138483047,1,Alta
Z. Steffen,27,191,86,77,79,GK,3,1,79,74,75,82,53,72,14,9,13,52,8,15,13,11,52,31,54,52,58,71,49,56,71,39,69,12,31,19,9,58,37,56,13,12,12,79,74,75,72,82,23.573915188728375,1,Alta
R. Gikiewicz,34,190,81,77,77,GK,2,1,79,72,64,81,28,76,18,13,39,24,15,18,19,12,20,19,27,29,38,77,40,48,66,20,68,13,22,12,12,48,19,31,13,14,13,79,72,64,76,81,22.437673130193907,1,Alta
